figure,x,method,mean_f1,std_f1,num_seeds
learning_vs_pdr,0.2,optimized without fairness,0.5935017786518406,0.05290867969074254,10
learning_vs_pdr,0.3,optimized without fairness,0.5975357663759013,0.03193409097734532,10
learning_vs_pdr,0.4,optimized without fairness,0.5911651411406356,0.04754950666435069,10
learning_vs_pdr,0.5,optimized without fairness,0.5832174316327958,0.048532201795980646,10
learning_vs_pdr,0.6,optimized without fairness,0.5237333071432997,0.053786879949396,10
learning_vs_pdr,0.7,optimized without fairness,0.46204414283947914,0.06760247087699853,10
learning_vs_pdr,0.8,optimized without fairness,0.38679085337851904,0.046448695167147634,10
learning_vs_pdr,0.2,optimized using fairness,0.6363518522563401,0.03191310051886305,10
learning_vs_pdr,0.3,optimized using fairness,0.6254446700428435,0.017415523026031585,10
learning_vs_pdr,0.4,optimized using fairness,0.6172799798355468,0.016117311550726005,10
learning_vs_pdr,0.5,optimized using fairness,0.6048942529405663,0.029424179108219053,10
learning_vs_pdr,0.6,optimized using fairness,0.5710091058279371,0.030925893659399087,10
learning_vs_pdr,0.7,optimized using fairness,0.5097857027578477,0.028749350659720195,10
learning_vs_pdr,0.8,optimized using fairness,0.4398748590457651,0.027180080384984356,10
learning_vs_pdr,0.2,uniform rate,0.6195302954788947,0.022531545610591664,10
learning_vs_pdr,0.3,uniform rate,0.5843028705724242,0.02516337573471566,10
learning_vs_pdr,0.4,uniform rate,0.5567875093827449,0.02498406841731425,10
learning_vs_pdr,0.5,uniform rate,0.519711143147877,0.026457185576108634,10
learning_vs_pdr,0.6,uniform rate,0.49171407662390376,0.04926645499320539,10
learning_vs_pdr,0.7,uniform rate,0.4163355772442537,0.044461382687216104,10
learning_vs_pdr,0.8,uniform rate,0.36857662168770544,0.03241763244631577,10
learning_vs_pdr,0.2,random rate,0.5712823495591518,0.04398444467013522,10
learning_vs_pdr,0.3,random rate,0.5518357489880584,0.04050420734219877,10
learning_vs_pdr,0.4,random rate,0.5375291186468198,0.04816393757458122,10
learning_vs_pdr,0.5,random rate,0.45854013796966175,0.06565488350707616,10
learning_vs_pdr,0.6,random rate,0.42316194588258166,0.049044695276518384,10
learning_vs_pdr,0.7,random rate,0.3918353019038136,0.052233039854584856,10
learning_vs_pdr,0.8,random rate,0.33118239476081085,0.040103222631035794,10
learning_vs_pdr,0.2,FedCS,0.5797863661756816,0.05345655871227743,10
learning_vs_pdr,0.3,FedCS,0.5472065315420244,0.05950553723106067,10
learning_vs_pdr,0.4,FedCS,0.5081118694749893,0.05234496265561495,10
learning_vs_pdr,0.5,FedCS,0.4818968088230623,0.055285619072681716,10
learning_vs_pdr,0.6,FedCS,0.4186555006522606,0.03721464980361856,10
learning_vs_pdr,0.7,FedCS,0.38016605054130637,0.06597362722399878,10
learning_vs_pdr,0.8,FedCS,0.3116788815012802,0.060988220883828874,10
online_learning,5.0,optimized without fairness,0.018181818181818184,3.657118196434064e-18,10
online_learning,20.0,optimized without fairness,0.05065671557783226,0.035587634764227945,10
online_learning,40.0,optimized without fairness,0.18284450338469288,0.049961356922498694,10
online_learning,60.0,optimized without fairness,0.36133611054820036,0.046099838770269755,10
online_learning,80.0,optimized without fairness,0.481127719815006,0.05140998729538228,10
online_learning,100.0,optimized without fairness,0.5832174316327958,0.048532201795980646,10
online_learning,5.0,optimized using fairness,0.018181818181818184,3.657118196434064e-18,10
online_learning,20.0,optimized using fairness,0.04825315709351193,0.03385790507904859,10
online_learning,40.0,optimized using fairness,0.239987065310748,0.05263342929455572,10
online_learning,60.0,optimized using fairness,0.40379290344805663,0.021528880133809488,10
online_learning,80.0,optimized using fairness,0.5250257083649662,0.024950041361874422,10
online_learning,100.0,optimized using fairness,0.6048942529405663,0.029424179108219053,10
online_learning,5.0,uniform rate,0.01855362433771659,0.0006384056246428577,10
online_learning,20.0,uniform rate,0.06575686464457892,0.03429060672343342,10
online_learning,40.0,uniform rate,0.1938932281346997,0.04323158030942779,10
online_learning,60.0,uniform rate,0.3319933356365937,0.03582425874270827,10
online_learning,80.0,uniform rate,0.43654708266732856,0.03901766643940935,10
online_learning,100.0,uniform rate,0.519711143147877,0.026457185576108634,10
online_learning,5.0,random rate,0.018178138857736795,8.309957154077064e-05,10
online_learning,20.0,random rate,0.01913514316661228,0.0016601307645225795,10
online_learning,40.0,random rate,0.13676257252069163,0.027368965731452186,10
online_learning,60.0,random rate,0.2636620282563325,0.06893925879302265,10
online_learning,80.0,random rate,0.3826206459992939,0.07796339980695313,10
online_learning,100.0,random rate,0.45854013796966175,0.06565488350707616,10
online_learning,5.0,FedCS,0.018181818181818184,3.657118196434064e-18,10
online_learning,20.0,FedCS,0.024719081478032322,0.014680932769152489,10
online_learning,40.0,FedCS,0.1321648745136879,0.06110269189978758,10
online_learning,60.0,FedCS,0.2570967627204909,0.0701419311453531,10
online_learning,80.0,FedCS,0.3847134044439061,0.06402233837912645,10
online_learning,100.0,FedCS,0.4818968088230623,0.055285619072681716,10
